player_id,shortName,position,birthDate,height,countryId,meta_status,meta_duels,meta_skills,meta_average,meta_defence,meta_passing,meta_physical,meta_shooting,meta_matchLink,meta_videoLink,meta_jerseyNumber,team_id,team_name,image_url
69648,Ryan Lima,forward,2001-07-17,179.0,17.0,,77,74,75,70,71,75,79,https://youtu.be/a1O7No9x1H0,https://youtu.be/C2BTY05Oq0k,22,50,Furia FC,https://kingsleague-cdn.kama.football/account/production/player/7a056915-4d57-4fe5-8fb6-c0b6f3700ad7/79092573.png
71032,João Pelegrini,defender,1998-02-08,188.0,17.0,,71,61,73,78,78,78,68,https://youtu.be/cgnA5pkU_IM,https://youtu.be/YXScwD-A-EA,62,50,Furia FC,https://kingsleague-cdn.kama.football/account/production/player/625fdb80-afb8-4ba5-99a3-eefa7a92ccfe/610208489.png
71542,Victor Hugo,goalkeeper,1991-01-16,182.0,17.0,,74,,79,,,,,https://youtu.be/W6xuMNGXU34,https://youtu.be/xO18eEXIaOI,334,50,Furia FC,https://kingsleague-cdn.kama.football/account/production/player/d0a76e5b-cac2-47bc-b6ef-a767d7c704e1/585309606.png
71665,Matheus Dedo,midfielder,2001-11-17,181.0,17.0,,73,70,73,70,71,81,71,https://youtu.be/W6xuMNGXU34,https://youtu.be/U_J_skBVRKw,75,50,Furia FC,https://kingsleague-cdn.kama.football/account/production/player/da629702-f4dc-41a6-937f-567f341d9caa/874897771.png
68330,Vini Alexandre,midfielder,2000-04-22,166.0,17.0,,76,72,77,86,75,83,72,https://youtu.be/gPmmx78lJmA,https://youtu.be/sF5KWGPSglo,164,160,Fluxo FC,https://kingsleague-cdn.kama.football/account/production/player/f08fbe9a-0553-41a2-8cdd-e05ba5d7f556/413677693.png
68692,Thiago de Oliveira,goalkeeper,2005-06-25,186.0,17.0,,85,,73,,,,,https://youtu.be/a1O7No9x1H0,https://youtu.be/5iDQ74dzfSI,316,160,Fluxo FC,https://kingsleague-cdn.kama.football/account/production/player/cb9b289c-2108-4b9b-9b91-30032dd8d93e/299126333.png
69184,Victor Bueno,forward,2000-10-05,175.0,17.0,,86,80,82,72,77,88,87,https://youtu.be/xzaBPP87nj4,https://youtu.be/F-6sWDj4XYA,55,160,Fluxo FC,https://kingsleague-cdn.kama.football/account/production/player/4fda1643-a321-44de-9031-23b44fc99777/145682784.png
69206,Thiaguinho,midfielder,2000-02-17,176.0,17.0,,73,78,73,70,72,75,72,https://youtu.be/pyrJOtXKH0g,https://youtu.be/L1d6jtQMB6s,182,160,Fluxo FC,https://kingsleague-cdn.kama.football/account/production/player/f14acfff-b185-4d26-8fba-f570693ac361/665544694.png
69775,Julio Carvalho,goalkeeper,1992-05-05,184.0,17.0,,80,,84,,,,,https://youtu.be/Yv579-6_SVw,https://youtu.be/SQkuHb4sIZY,320,160,Fluxo FC,https://kingsleague-cdn.kama.football/account/production/player/2beb292b-bea1-4344-a35c-d46b1fb4b00e/920379914.png
70589,Serginho,midfielder,1995-08-05,173.0,17.0,,71,72,75,76,70,77,73,https://youtu.be/Yv579-6_SVw,https://youtu.be/z2B1XG-cqHk,61,160,Fluxo FC,https://kingsleague-cdn.kama.football/account/production/player/ab5b28bc-b03e-4df2-9287-381abaf1cd27/423070228.png
70682,Vini Melequinha,defender,1999-06-25,179.0,17.0,,70,64,72,75,74,78,68,https://youtu.be/Yv579-6_SVw,https://youtu.be/3fQr_3DPdds,193,160,Fluxo FC,https://kingsleague-cdn.kama.football/account/production/player/de24d705-2362-4ae0-883f-3c644a84538b/77802584.png
70864,Murillo,defender,1998-12-22,189.0,17.0,,77,71,74,79,67,82,64,https://youtu.be/xzaBPP87nj4,https://youtu.be/MO4VinOagY8,50,160,Fluxo FC,https://kingsleague-cdn.kama.football/account/production/player/d6589ad2-79f0-4738-8eb1-7074f2db99b4/298629717.png
71434,Caio Sanchez,forward,1993-01-27,189.0,17.0,,71,71,73,70,74,77,71,https://youtu.be/cgnA5pkU_IM,https://youtu.be/EaUusuNNiv4,69,160,Fluxo FC,https://kingsleague-cdn.kama.football/account/production/player/a1483115-ba7a-4917-96b8-8db9da95ed5b/224292500.png
71484,Intera,midfielder,1996-03-04,168.0,17.0,,78,77,78,72,78,83,76,https://youtu.be/cgnA5pkU_IM,https://youtu.be/XCYsISAi6wk,79,160,Fluxo FC,https://kingsleague-cdn.kama.football/account/production/player/b0d1e3c9-4e1a-4e25-89c1-598371a2a21c/443528685.png
78053,Luís Boolt,forward,1994-09-13,170.0,17.0,Wildcard,,,,,,,,,,,160,Fluxo FC,https://kingsleague-cdn.kama.football/account/production/player/6fe7dbf0-c996-4492-86e7-a935af302d78/503163787.png
78054,Helber JR,forward,1996-01-15,170.0,17.0,Wildcard,,,,,,,,,,,160,Fluxo FC,https://kingsleague-cdn.kama.football/account/production/player/651844e5-720e-431e-b707-04a95de8e119/748014447.png
78058,Chaveirinho,midfielder,1996-09-23,170.0,17.0,Wildcard,,,,,,,,,,,160,Fluxo FC,https://kingsleague-cdn.kama.football/account/production/player/b70cf08f-41bc-456d-928a-5c467188fc1c/423583302.png
68029,Tuco,midfielder,1992-10-02,177.0,17.0,,70,59,70,74,74,75,66,https://youtu.be/gPmmx78lJmA,https://youtu.be/ihcuoIVMKwY,9,161,Dendele FC,https://kingsleague-cdn.kama.football/account/production/player/9ba6f8bd-28bf-44a1-8c0a-9d3ac0ebae16/988825481.png
68204,Romarinho,midfielder,1996-08-09,177.0,17.0,,64,56,66,73,59,74,68,https://youtu.be/gPmmx78lJmA,https://youtu.be/yRCZ1lGjsow,157,161,Dendele FC,https://kingsleague-cdn.kama.football/account/production/player/079bd6a5-fe54-4a6f-818c-cfed632bb14e/968482434.png
68488,Thales,goalkeeper,1991-08-19,188.0,17.0,,82,,84,,,,,https://youtu.be/a1O7No9x1H0,https://youtu.be/Ff544xzI4JM,315,161,Dendele FC,https://kingsleague-cdn.kama.football/account/production/player/dc2c932f-c84c-424c-bc35-fc7d4d0e499d/449324528.png
68958,Assump,midfielder,1990-03-31,182.0,17.0,,72,86,79,83,72,81,76,https://youtu.be/heRN3LonAGg,https://youtu.be/AfwsgExJObA,165,161,Dendele FC,https://kingsleague-cdn.kama.football/account/production/player/87bec426-881d-45b2-a4d9-b2399465fd23/735480124.png
69094,Maikon,goalkeeper,1987-12-08,188.0,17.0,,85,,77,,,,,https://youtu.be/xzaBPP87nj4,https://youtu.be/DWGzwaoQ4ts,325,161,Dendele FC,https://kingsleague-cdn.kama.football/account/production/player/f204bd01-fab2-4280-bede-557b2ec2caa2/300677650.png
70239,Mathias,midfielder,2001-11-18,175.0,17.0,,70,68,72,67,70,78,75,https://youtu.be/a1O7No9x1H0,https://youtu.be/WCz9U5WsoTA,29,161,Dendele FC,https://kingsleague-cdn.kama.football/account/production/player/530ffbd9-b133-4cfa-9df4-a909e87bae15/32719519.png
70901,Coity,forward,1995-10-18,185.0,17.0,,75,76,74,68,59,84,78,https://youtu.be/xzaBPP87nj4,https://youtu.be/wZFqnFqvHWg,49,161,Dendele FC,https://kingsleague-cdn.kama.football/account/production/player/437ac828-a662-4c0c-9718-a8d1478370ed/932029931.png
71448,Gabriel Repulho,forward,1999-10-19,184.0,17.0,,80,79,78,72,74,82,81,https://youtu.be/xzaBPP87nj4,https://youtu.be/nZPuNHtrsC8,203,161,Dendele FC,https://kingsleague-cdn.kama.football/account/production/player/image/714657932.png
71567,Guilherme Carvalho,defender,1991-08-06,178.0,17.0,,77,68,77,86,82,79,70,https://youtu.be/W6xuMNGXU34,https://youtu.be/DLwelBm_8s0,220,161,Dendele FC,https://kingsleague-cdn.kama.football/account/production/player/24f4dd9f-3ba9-4732-b3f3-9fa4174a3a53/508249168.png
78025,Canhoto,midfielder,2001-04-25,170.0,17.0,Wildcard,,,,,,,,,,,161,Dendele FC,https://kingsleague-cdn.kama.football/account/production/player/2bfb2b7c-d8ac-4711-91dc-2aa2895a9070/423296873.png
78026,Erick Kaká,midfielder,1996-03-27,170.0,17.0,Wildcard,,,,,,,,,,,161,Dendele FC,https://kingsleague-cdn.kama.football/account/production/player/6383ec3e-b90f-4122-9406-07cf808e8603/512885192.png
78027,Lyncoln Oliveira,defender,1997-01-22,170.0,17.0,Wildcard,,,,,,,,,,,161,Dendele FC,https://kingsleague-cdn.kama.football/account/production/player/439b212d-04c3-4f96-93d6-6e96546eafd1/130928293.png
78028,Lucas Hector,midfielder,2000-02-26,170.0,17.0,Wildcard,,,,,,,,,,,161,Dendele FC,https://kingsleague-cdn.kama.football/account/production/player/fd95480d-1919-443a-b9df-fd396349f53d/371098539.png
68128,Higor Rock,forward,1999-08-28,183.0,17.0,,82,80,81,70,82,86,84,https://youtu.be/gPmmx78lJmA,https://youtu.be/RLrxTKnKxa4,154,162,LOUD SC,https://kingsleague-cdn.kama.football/account/production/player/1ec1b052-ec32-4500-9010-21358a0e7869/166411630.png
68272,Gabriel Kawa,goalkeeper,2000-08-07,189.0,17.0,,77,,84,,,,,https://youtu.be/heRN3LonAGg,https://youtu.be/yY8ssT5HdrM,301,162,LOUD SC,https://kingsleague-cdn.kama.football/account/production/player/1f3023a6-eaf6-4bf6-8404-9674089cc629/704306836.png
68816,Luis Henrique,midfielder,1998-02-21,183.0,17.0,,71,67,71,70,71,76,69,https://youtu.be/Yv579-6_SVw,https://youtu.be/grA9wPkSOlU,47,162,LOUD SC,https://kingsleague-cdn.kama.football/account/production/player/4243b77b-b215-4973-b2a0-0456ea403ebe/430748646.png
70771,Josué Campos,defender,1994-02-14,192.0,17.0,,74,74,79,87,77,82,77,https://youtu.be/Yv579-6_SVw,https://youtu.be/lkCfBGFuErE,191,162,LOUD SC,https://kingsleague-cdn.kama.football/account/production/player/a0830c70-55f8-4b84-8c55-1846d290b834/705089112.png
70854,Kelvis Nunes,midfielder,2005-04-16,168.0,17.0,,77,78,76,76,66,79,76,https://youtu.be/xzaBPP87nj4,https://youtu.be/djYg8OWYZQI,194,162,LOUD SC,https://kingsleague-cdn.kama.football/account/production/player/823835d8-d089-486c-9139-7edc46ba9fae/785894363.png
70950,Julio Rodrigues,forward,1996-06-16,176.0,17.0,,74,76,74,69,63,77,82,https://youtu.be/cgnA5pkU_IM,https://youtu.be/L9iYou-h6Ic,81,162,LOUD SC,https://kingsleague-cdn.kama.football/account/production/player/0d49b1c2-dfb3-4f8a-9d00-5aa61c0615b4/19938661.png
71411,Matheus Lisboa,midfielder,1996-11-13,170.0,17.0,,77,76,80,82,82,79,79,https://youtu.be/cgnA5pkU_IM,https://youtu.be/W9RLrLIo1rA,68,162,LOUD SC,https://kingsleague-cdn.kama.football/account/production/player/ed14dc54-3cc7-4329-ad0c-4b9ed400afbd/143227028.png
71521,Nathan Lucas,forward,2000-11-14,178.0,17.0,,75,70,71,67,65,77,68,https://youtu.be/W6xuMNGXU34,https://youtu.be/XRGWEYeQW7o,209,162,LOUD SC,https://kingsleague-cdn.kama.football/account/production/player/a6b8eecc-1bfb-44cb-8602-a457dc2cff80/757933824.png
71635,Lucas Dos Anjos,midfielder,2001-02-17,177.0,17.0,,81,81,80,82,79,79,80,https://youtu.be/W6xuMNGXU34,https://youtu.be/aQnenoagyR8,216,162,LOUD SC,https://kingsleague-cdn.kama.football/account/production/player/095147ee-2e30-4975-9078-33bdd09a1a17/106600409.png
71724,Lukinhas,midfielder,2001-05-05,170.0,17.0,,70,75,75,71,69,98,69,https://youtu.be/W6xuMNGXU34,https://youtu.be/Rzr_s_7qnpE,64,162,LOUD SC,https://kingsleague-cdn.kama.football/account/production/player/c9555876-8517-4175-9f4b-fb23e9d36eac/999960421.png
78055,Rafa Neguinho,midfielder,1993-08-01,170.0,17.0,Wildcard,,,,,,,,,,,162,LOUD SC,https://kingsleague-cdn.kama.football/account/production/player/1b6df5ab-65c0-4a9d-9109-2d5813ccafe7/474129777.png
78056,Esaú,goalkeeper,1999-01-11,170.0,17.0,Wildcard,,,,,,,,,,,162,LOUD SC,https://kingsleague-cdn.kama.football/account/production/player/0a669479-3de4-4469-b171-51821cad07f5/451932879.png
78057,Iago Soares,defender,1993-03-10,170.0,17.0,Wildcard,,,,,,,,,,,162,LOUD SC,https://kingsleague-cdn.kama.football/account/production/player/e3e7cf04-b8d6-48a7-bd62-cfbe96eee03f/844139885.png
79742,Douglas Marques ,forward,1994-12-27,175.0,17.0,,,,,,,,,,,,162,LOUD SC,https://kingsleague-cdn.kama.football/account/production/player/3a2d6c11-4cdf-4745-80f8-1653b17c0654/77818629.png
33814,Caio Japa,forward,2004-07-06,170.0,17.0,,75,61,71,67,69,80,72,https://youtu.be/W6xuMNGXU34,https://youtu.be/SmSn3FnwGOc,213,163,Nyvelados FC,https://kingsleague-cdn.kama.football/account/production/player/image/391412207.png
68223,Gustavo Simon,midfielder,1999-02-19,187.0,17.0,,73,65,70,74,74,70,69,https://youtu.be/gPmmx78lJmA,https://youtu.be/8rlchw-sgdg,11,163,Nyvelados FC,https://kingsleague-cdn.kama.football/account/production/player/708f125c-8b10-42d8-bc59-551492004c47/913074701.png
68281,Ivo Alves,goalkeeper,1998-07-09,177.0,17.0,,80,,76,,,,,https://youtu.be/heRN3LonAGg,https://youtu.be/ppQg5xj3KzA,307,163,Nyvelados FC,https://kingsleague-cdn.kama.football/account/production/player/image/796606836.png
68396,Matheus Klynsmann,midfielder,1995-12-10,173.0,17.0,,69,68,71,72,73,76,67,https://youtu.be/heRN3LonAGg,https://youtu.be/GfaFHfQnqPs,19,163,Nyvelados FC,https://kingsleague-cdn.kama.football/account/production/player/image/279254673.png
68954,Bruninho,midfielder,1994-06-21,179.0,17.0,,63,53,66,74,71,72,62,https://youtu.be/heRN3LonAGg,https://youtu.be/BSUvMLH2mr8,158,163,Nyvelados FC,https://kingsleague-cdn.kama.football/account/production/player/914dfc30-6180-4614-911a-22bc7ea4d080/160843326.png
70408,Bruno Mendes,midfielder,1994-07-23,183.0,17.0,,70,70,72,78,65,73,73,https://youtu.be/a1O7No9x1H0,https://youtu.be/7GLbePHMyXo,28,163,Nyvelados FC,https://kingsleague-cdn.kama.football/account/production/player/image/104034626.png
70810,Vinicius Miranda,defender,2003-09-30,186.0,17.0,,78,70,76,82,81,75,68,https://youtu.be/xzaBPP87nj4,https://youtu.be/RF7Zwhgg9Ao,45,163,Nyvelados FC,https://kingsleague-cdn.kama.football/account/production/player/2e668dbd-4010-4d7f-a5a5-f15f7f24079a/182941006.png
71123,Choco,forward,1999-10-26,,17.0,,,,,,,,,,,,163,Nyvelados FC,https://kingsleague-cdn.kama.football/account/production/player/c72c3851-198a-43ca-8cb6-4621395bfd5c/334805666.png
71664,Breno Arantes,midfielder,2001-04-06,183.0,17.0,,77,79,79,76,78,81,78,https://youtu.be/W6xuMNGXU34,https://youtu.be/7rLzru_y-Sg,71,163,Nyvelados FC,https://kingsleague-cdn.kama.football/account/production/player/image/395868523.png
78021,Leo Gol,midfielder,1999-12-14,170.0,17.0,Wildcard,,,,,,,,,,,163,Nyvelados FC,https://kingsleague-cdn.kama.football/account/production/player/fc6d9f1f-6bff-434c-8c33-0f454313a9bf/732747082.png
79732,Ruan da Silva Pereira,midfielder,1991-09-11,170.0,17.0,,,,,,,,,,,,163,Nyvelados FC,https://kingsleague-cdn.kama.football/account/production/player/2854e3f7-54b0-42ac-b27c-1132e24df72e/781770126.png
79954,Matheus Martins,midfielder,1993-02-03,175.0,17.0,,,,,,,,,,,,163,Nyvelados FC,https://kingsleague-cdn.kama.football/account/production/player/44b912dc-23c2-41a8-9e42-27c763e4ebaa/482230560.png
68369,Guilherme Barros,goalkeeper,2004-04-06,195.0,17.0,,74,,71,,,,,https://youtu.be/pyrJOtXKH0g,https://youtu.be/Xq2I8bunusU,311,164,Funkbol Clube,https://kingsleague-cdn.kama.football/account/production/player/4daf920a-255d-4efc-b4a1-dc17ff970c3c/788784206.png
68399,Luiz Pepinho,forward,1996-04-13,173.0,17.0,,67,58,67,78,65,68,67,https://youtu.be/heRN3LonAGg,https://youtu.be/EaH69uZKC7s,12,164,Funkbol Clube,https://kingsleague-cdn.kama.football/account/production/player/1253cf20-9fed-43fc-bd3c-f45b39b411b7/438551162.png
68575,MlkJhoow,defender,2000-10-04,186.0,17.0,,81,77,81,89,82,80,77,https://youtu.be/heRN3LonAGg,https://youtu.be/iVLG57IW7XM,8,164,Funkbol Clube,https://kingsleague-cdn.kama.football/account/production/player/22bbe5f9-ab2b-43b6-bd7c-9848b68cb466/291620329.png
68786,Marcelo Silva,midfielder,2003-03-20,171.0,17.0,,78,77,77,76,77,76,74,https://youtu.be/heRN3LonAGg,https://youtu.be/YA_hY6TV2jw,20,164,Funkbol Clube,https://kingsleague-cdn.kama.football/account/production/player/48b2a036-8f0d-45fd-8ae8-ca8275bc9da7/875409059.png
68856,Lucas Matheus,midfielder,2000-05-01,165.0,17.0,,70,61,72,83,67,75,72,https://youtu.be/heRN3LonAGg,https://youtu.be/tDkiKTem2NY,2,164,Funkbol Clube,https://kingsleague-cdn.kama.football/account/production/player/image/944762356.png
69617,Douglinha,forward,1994-02-20,178.0,17.0,,83,82,78,70,73,78,78,https://youtu.be/a1O7No9x1H0,https://youtu.be/sZqX6A8_3DI,32,164,Funkbol Clube,https://kingsleague-cdn.kama.football/account/production/player/image/115371333.png
70449,Vitinho Ruas,midfielder,1996-08-04,179.0,17.0,,77,79,79,82,80,80,78,https://youtu.be/a1O7No9x1H0,https://youtu.be/z45INcYDbpg,21,164,Funkbol Clube,https://kingsleague-cdn.kama.football/account/production/player/131a78c4-7507-421b-8cec-60e4b5e3bb68/934507147.png
70535,TH,forward,2000-08-30,175.0,17.0,,72,60,71,76,68,83,65,https://youtu.be/Yv579-6_SVw,https://youtu.be/ip7sEzhkkPo,187,164,Funkbol Clube,https://kingsleague-cdn.kama.football/account/production/player/image/333788798.png
71632,Flávio Stockunas,defender,1992-02-28,185.0,17.0,,78,70,79,85,80,83,74,https://youtu.be/W6xuMNGXU34,https://youtu.be/grEW40nQiQ8,66,164,Funkbol Clube,https://kingsleague-cdn.kama.football/account/production/player/1d365585-3163-41b0-b885-c2a4ef1b4bf5/473849900.png
78048,Rodrigo Rocha,goalkeeper,1985-01-07,170.0,17.0,Wildcard,,,,,,,,,,,164,Funkbol Clube,https://kingsleague-cdn.kama.football/account/production/player/f459a444-f79c-4c6f-9c92-160655ed8b27/6258749.png
78063,Marcelo Fattori,midfielder,1993-05-06,180.0,17.0,,,,,,,,,,,,164,Funkbol Clube,https://kingsleague-cdn.kama.football/account/production/player/24cedf03-2746-4504-bbd9-de39cd671947/807573244.png
78090,Betão Ribeiro,midfielder,1987-11-12,170.0,17.0,,,,,,,,,,,,164,Funkbol Clube,https://kingsleague-cdn.kama.football/account/production/player/f80a33aa-3c95-4f4d-9142-75b75036179f/990285477.png
79735,João Otávio,forward,1991-05-09,180.0,17.0,,,,,,,,,,,,164,Funkbol Clube,https://kingsleague-cdn.kama.football/account/production/player/909da2cd-a43b-4d81-ae45-0040ec0ed87a/17289371.png
79956,Ahmed,midfielder,2001-06-27,172.0,35.0,,,,,,,,,,,,164,Funkbol Clube,https://kingsleague-cdn.kama.football/account/production/player/bbf15a96-f74f-4709-b094-7149096ccf09/369051772.png
79957,Juan Felipe,midfielder,1987-12-05,175.0,17.0,,,,,,,,,,,,164,Funkbol Clube,https://kingsleague-cdn.kama.football/account/production/player/e20d722d-e4fa-4d33-ba53-de97f517790e/120038598.png
79958,Dávisson,midfielder,2001-05-09,170.0,17.0,,,,,,,,,,,,164,Funkbol Clube,https://kingsleague-cdn.kama.football/account/production/player/981dcc95-3fd5-4263-8096-f6049ca32a2f/887561427.png
34219,Well,midfielder,1997-07-21,179.0,17.0,Wildcard,,,,,,,,,,,166,FC Real Elite,https://kingsleague-cdn.kama.football/account/production/player/2515ec1a-9d2a-46c4-9e92-03e7a9323835/197501052.png
68886,Marlon Ribas,forward,1997-07-28,188.0,17.0,,70,63,71,64,67,75,82,https://youtu.be/pyrJOtXKH0g,https://youtu.be/0KhD1D-5IfM,27,166,FC Real Elite,https://kingsleague-cdn.kama.football/account/production/player/1fc53e2c-e916-432d-8449-1d014295377d/337971035.png
68892,Andrey Profeta,defender,1996-02-26,190.0,17.0,,74,72,79,86,80,79,78,https://youtu.be/heRN3LonAGg,https://youtu.be/Nggkl1HyoKI,167,166,FC Real Elite,https://kingsleague-cdn.kama.football/account/production/player/fd1575cd-3a49-41ce-aa21-a9b3209af949/50951048.png
69175,Lucas Ancelotti,goalkeeper,2001-04-02,186.0,17.0,,75,,74,,,,,https://youtu.be/Yv579-6_SVw,https://youtu.be/-o1fbzaQVn8,321,166,FC Real Elite,https://kingsleague-cdn.kama.football/account/production/player/958dcc86-47e3-47a3-8bbf-c82e8368a050/704444327.png
69243,Matheus Bueno,midfielder,2000-03-11,180.0,17.0,,76,71,78,78,82,78,79,https://youtu.be/pyrJOtXKH0g,https://youtu.be/h_MSWHR5Q3Y,179,166,FC Real Elite,https://kingsleague-cdn.kama.football/account/production/player/b49253cf-1eff-472a-a2bd-1798c3702633/511790679.png
69383,Dudu Andrade,forward,2003-07-23,167.0,17.0,,74,69,73,71,65,82,77,https://youtu.be/pyrJOtXKH0g,https://youtu.be/20FJmDMn5qU,26,166,FC Real Elite,https://kingsleague-cdn.kama.football/account/production/player/516ae551-f362-4130-bcd7-eca9bf3523d0/824934533.png
70207,Lukeet,midfielder,2000-04-19,169.0,17.0,,67,62,73,81,77,77,71,https://youtu.be/pyrJOtXKH0g,https://youtu.be/2iRBeBOc1is,186,166,FC Real Elite,https://kingsleague-cdn.kama.football/account/production/player/3786676b-d4ae-4ccc-aee4-f5de2049b1d6/390686393.png
71122,Davi Ilario,midfielder,2002-03-29,,17.0,Wildcard,,,,,,,,,,,166,FC Real Elite,https://kingsleague-cdn.kama.football/account/production/player/f1cda864-fe4c-4284-8969-dd40b56c085b/644585903.png
